Brand: ,Model: ,Model year: ,Condition: ,Transmission: ,Fuel type: ,Engine capacity: ,Mileage: 
,,,,,,,
Land Rover,Range Rover,2019,Used,Automatic,Diesel,"2,000 cc","19,000 km"
Toyota,Land Cruiser Prado,2017,Used,Automatic,Petrol,"2,700 cc","61,000 km"
,,,,,,,
,,,,,,,
,,,,,,,
Toyota,CHR,2018,Used,Automatic,Petrol,"1,200 cc","21,000 km"
,,,,,,,
Land Rover,Range Rover,2019,Used,Automatic,"Petrol, Hybrid, Electric","2,000 cc","13,100 km"
,,,,,,,
Toyota,Land Cruiser Sahara,2016,Used,Automatic,Diesel,"4,461 cc","84,000 km"
,,,,,,,
Nissan,Tiida,2008,Used,Automatic,Petrol,"1,500 cc","146,000 km"
Suzuki,Wagon R FZ,2017,Used,Automatic,Hybrid,650 cc,"19,400 km"
,,,,,,,
,,,,,,,
,,,,,,,
Toyota,Premio,2018,Used,Automatic,Petrol,"1,500 cc","29,000 km"
Toyota,Land Cruiser Prado,2017,Used,Automatic,Petrol,"2,700 cc","79,000 km"
Land Rover,Range Rover,2019,Used,Automatic,"Petrol, Hybrid, Electric","2,000 cc","12,000 km"
Toyota,Land Cruiser Sahara,2013,Used,Automatic,Diesel,"4,461 cc","87,000 km"
Toyota,Land Cruiser Prado,2014,Used,Automatic,Diesel,"3,000 cc","85,000 km"
Mahindra,Maximo plus,2013,Used,,,,"46,000 km"
Suzuki,Every Join Turbo,2017,Used,,,,"8,000 km"
Suzuki,Every Join Safety,2018,Used,,,,"8,000 km"
Land Rover,Range Rover,2019,Used,Automatic,"Petrol, Hybrid, Electric","2,000 cc","5,000 km"
Toyota,TownAce,2008,Used,,,,"160,000 km"
,,,,,,,
Tata,dimo batta EX2,2014,Used,,,,"124,000 km"
Daihatsu,Hijet Cargo,2016,Used,,,,0 km
Isuzu,ElF Freezer,2012,Reconditioned,,,,"400,000 km"
Suzuki,Every Full Join,2012,Used,,,,"45,000 km"
,,,,,,,
Tata,Dimo Batta,2010,Used,,,,"65,000 km"
Mahindra,BOLERO,2011,Used,,,,"58,000 km"
Suzuki,Every,2001,Used,,,,"88,000 km"
Tata,Dimo Lokka,2017,Used,,,,"45,000 km"
Toyota,CR41,1997,Used,,,,"140,000 km"
Toyota,HIACE TRH200,2016,Reconditioned,,,,"30,000 km"
,,,,,,,
,,,,,,,
Daihatsu,Hi Jet Lorry,1999,Used,,,,"213,312 km"
Isuzu,Crew cab,1993,Used,,,,"150,000 km"
,,,,,,,
Mitsubishi,10/5 dunu Tiptronic,2012,Reconditioned,,,,"423,000 km"
,,,,,,,
Mitsubishi,ROSA BUS,2011,Reconditioned,,,,"275,000 km"
,,,,,,,
Suzuki,EVERY  DA17V,2015,Used,,,,"12,000 km"
Toyota,Noah Kr42 Diesel,2000,Used,,,,"45,000 km"
Suzuki,Every Join,2015,Used,,,,"23,000 km"
Dimo Batta,ACE EX2,2014,Used,,,,"60,101 km"
Toyota,KDH 200,2007,Used,,,,"231,000 km"
,,,,,,,
Toyota,Dual purpose auto,2008,Used,,,,"227,000 km"
,,,,,,,
Honda,Fit,2015,Used,Automatic,"Petrol, Hybrid","1,500 cc","96,000 km"
